name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
LAKEHAVASUCITY_NG,ngcc,bus_28879,655.0,0.0,196.5,3,1965.0,45850.0,655.0,4,4
MOHAVEVALLEY_NG,ngcc,bus_28879,708.0,0.0,212.4,3,2124.0,49560.0,708.0,4,4
YUMA_NG,ngcc,bus_28879,425.0,0.0,127.5,3,1275.0,29750.0,425.0,4,4
BIGBEARCITY_NG,ngcc,bus_28879,8.4,0.0,2.52,3,25.200000000000003,588.0,8.4,4,4
BLYTHE_NG,ngcc,bus_28879,591.0,0.0,177.29999999999998,3,1773.0,41370.0,591.0,4,4
NORTHPALMSPRINGS_NG,ngcc,bus_28879,149.7,0.0,44.91,3,449.09999999999997,10479.0,149.7,4,4
SUNCITY_NG,ngcc,bus_28879,819.0,0.0,245.7,3,2457.0,57330.0,819.0,4,4
TWENTYNINEPALMS_NG,ngcc,bus_28879,16.4,0.0,4.919999999999999,3,49.199999999999996,1148.0,16.4,4,4
CALIPATRIA_NG,ngcc,bus_28879,121.0,0.0,36.3,3,363.0,8470.0,121.0,4,4
DESERTHOTSPRINGS_NG,ngcc,bus_28879,800.0,0.0,240.0,3,2400.0,56000.0,800.0,4,4
GLENDALE_NG,ngcc,bus_40168,613.5,0.0,184.05,3,1840.5,42945.0,613.5,4,4
COCHISE_NG,ngcc,bus_40518,660.7,0.0,198.21,3,1982.1000000000001,46249.0,660.7,4,4
TUCSON_NG,ngcc,bus_40518,954.3,0.0,286.29,3,2862.8999999999996,66801.0,954.3,4,4
NOGALES_NG,ngcc,bus_40518,108.0,0.0,32.4,3,324.0,7560.0,108.0,4,4
LORDSBURG_NG,ngcc,bus_40518,88.0,0.0,26.4,3,264.0,6160.0,88.0,4,4
DEMING_NG,ngcc,bus_40518,650.0,0.0,195.0,3,1950.0,45500.0,650.0,4,4
SUNLANDPARK_NG,ngcc,bus_40518,398.3,0.0,119.49,3,1194.9,27881.0,398.3,4,4
CHANDLER_NG,ngcc,bus_40310,17.1,0.0,5.13,3,51.300000000000004,1197.0,17.1,4,4
ARLINGTON_NG,ngcc,bus_40840,3236.5,0.0,970.95,3,9709.5,226555.0,3236.5,4,4
CHANDLER_NG_2,ngcc,bus_40840,726.0,0.0,217.8,3,2178.0,50820.0,726.0,4,4
CASAGRANDE_NG,ngcc,bus_40840,646.1,0.0,193.83,3,1938.3000000000002,45227.0,646.1,4,4
TEMPE_NG,ngcc,bus_40840,573.7,0.0,172.11,3,1721.1000000000001,40159.0,573.7,4,4
TONOPAH_NG,ngcc,bus_40840,1325.1,0.0,397.53,3,3975.2999999999997,92757.0,1325.1,4,4
GILBERT_NG,ngcc,bus_40840,1326.0,0.0,397.8,3,3978.0,92820.0,1326.0,4,4
GOLDENVALLEY_NG,ngcc,bus_40008,121.0,0.0,36.3,3,363.0,8470.0,121.0,4,4
GLOBE_NG,ngcc,bus_40872,1678.0,0.0,503.4,3,5034.0,117460.0,1678.0,4,4
