EIA_ID,plant,state,bal_auth,bus,capacity
7789,Abiquiu Dam,NM,WACM,53248,15.6
851,Albeni Falls,ID,BPAT,74301,42
6409,Alcova,WY,WAUW,70166,41.4
3913,Alder,WA,TPWR,10998,50
809,American Falls,ID,IPCO,74313,92.4
6395,Anderson Ranch,ID,BPAT,74298,40
217,Balch 1,CA,CISO,23487,31
218,Balch 2,CA,CISO,23487,97.2
10735,Barber Dam,ID,IPCO,74220,4.1
219,Belden,CA,CISO,20295,117.9
6484,Bend,OR,PACW,13528,1.1
3074,Big Cliff,OR,BPAT,13488,18
317,Big Creek 1,CA,CISO,23324,88.4
318,Big Creek 2,CA,CISO,23353,66.6
322,Big Creek 2A,CA,CISO,23353,110
319,Big Creek 3,CA,CISO,23311,174.5
320,Big Creek 4,CA,CISO,23306,100
321,Big Creek 8,CA,CISO,23353,75
391,Big Pine,CA,LDWP,23363,3.2
515,Big Thompson,CO,WACM,60783,4.5
6396,Black Canyon,ID,BPAT,74328,10.2
2181,Black Eagle,MT,NWMT,77200,24
54514,Blind Canyon Hydro,ID,IPCO,74333,1.3
810,Bliss,ID,IPCO,74261,75
512,Blue Mesa,CO,WACM,60811,86.4
6397,Boise R Diversion,ID,IPCO,74220,3.3
3075,Bonneville,OR,BPAT,13669,1162
328,Borel,CA,CISO,26205,12
6433,Boundary,WA,SCL,11041,1118.6
3891,Box Canyon,WA,AVA,10993,90
505,Boysen,WY,WAUW,70111,15
811,Brownlee,ID,IPCO,74252,675
220,Bucks Creek,CA,CISO,20357,66
7317,Buffalo Bill,WY,WAUW,77213,18
221,Butt Valley,CA,CISO,20472,40
50895,Bypass,ID,IPCO,74324,9.9
812,C J Strike,ID,IPCO,74307,82.8
833,Cabinet Gorge,ID,AVA,74236,265.2
537,Camanche,CA,CISO,20470,10.8
430,Camino,CA,BANC,20541,157.8
6400,Canyon Ferry,MT,WAUW,77228,49.8
222,Caribou 1,CA,CISO,20376,73.8
223,Caribou 2,CA,CISO,20376,117.9
