,Name,Total
0,ARIZONA PUBLIC SERVICE COMPANY,227.29999999999998
1,AVISTA CORPORATION,448.0
2,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,0.0
3,BONNEVILLE POWER ADMINISTRATION,2446.2999999999997
4,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,0.0
5,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,6109.899999999998
6,PUD NO. 1 OF DOUGLAS COUNTY,0.0
7,EL PASO ELECTRIC COMPANY,50.4
8,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",0.0
9,IMPERIAL IRRIGATION DISTRICT,265.4
10,IDAHO POWER COMPANY,661.0999999999999
11,LOS ANGELES DEPARTMENT OF WATER AND POWER,0.0
12,NEVADA POWER COMPANY,458.7
13,NORTHWESTERN ENERGY (NWMT),1226.1000000000001
14,PACIFICORP - EAST,6666.1
15,PACIFICORP - WEST,4798.5
16,PORTLAND GENERAL ELECTRIC COMPANY,0.0
17,PUBLIC SERVICE COMPANY OF NEW MEXICO,1919.2000000000003
18,PUBLIC SERVICE COMPANY OF COLORADO,371.8
19,PUGET SOUND ENERGY,241.0
20,SEATTLE CITY LIGHT,0.0
21,SALT RIVER PROJECT,0.0
22,TUCSON ELECTRIC POWER COMPANY,660.5
23,TURLOCK IRRIGATION DISTRICT,0.0
24,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",0.0
25,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,5432.200000000001
26,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,0.0
27,WESTERN AREA POWER ADMINISTRATION UGP WEST,287.1
