,ORISPL,MWMax,PLPRMFL,FuelType,PLHTIAN,PLNGENAN,LAT,LON,Heat Rate MBTU/MWh,Gentype,GO,BusNum,Name,Substation Latitude,Substation Longitude,Distance
0,58632,3,SUN,SOLAR,0,3792,32.1825,-110.863333,0,solar," 40536, ",40536,TUCSON 29 1,32.1922,-110.8784,1.107320001
1,61861,10,MWH,OTHF,0,-1560,33.446804,-111.956261,0,otherfuel," 40708, 40709, 40710, 40711, ",40708,TEMPE 8 1,33.4394,-111.9461,0.777835281
2,57373,637.7,SUN,SOLAR,0,716167,32.9774,-113.4945,0,solar," 40698, 40699, 40700, 40701, 40702, ",40698,DATELAND 1 1,32.9774,-113.4945,0
3,141,613.5,NG,GAS,2655975.562,228022.001,33.5561,-112.2153,0,ng," 40809, 40810, 40811, 40812, 40813, 40814, 40815, 40816, 40817, 40818, ",40809,GLENDALE 23 1,33.5561,-112.2153,0
4,60684,1,SUN,SOLAR,0,2193,32.269,-110.975,0,solar," 40865, ",40865,TUCSON 51 1,32.2523,-110.9921,1.525284928
5,60964,20,SUN,SOLAR,0,52017,32.068141,-109.890379,0,solar," 40765, 40766, 40767, 40768, 40769, 40770, 40771, 40772, 40773, ",40765,COCHISE 1,32.0603,-109.8931,0.563360773
6,160,660.7,NG,GAS,22279892.81,2002818,32.0603,-109.8931,0,ng," 40766, 40767, 40768, 40769, 40770, 40771, 40772, 40773, ",40766,COCHISE 2,32.0603,-109.8931,0
7,58199,17.1,NG,GAS,207598.522,39186,33.417222,-111.928333,0,ng," 40862, 40863, 40864, ",40862,CHANDLER 15 1,33.4172,-111.9283,0.002436446
8,55282,713,NG,GAS,21426908,2928495,33.3417,-112.8897,0,ng," 40991, 40992, 40993, 40994, 40995, ",40991,ARLINGTON 11 1,33.3417,-112.8897,0
9,57679,127,SUN,SOLAR,0,0,33.321667,-112.880555,0,solar," 40992, 40993, 40994, 40995, ",40992,ARLINGTON 11 2,33.3417,-112.8897,1.478498814
