,ORISPL,MWMax,PLPRMFL,FuelType,PLHTIAN,PLNGENAN,LAT,LON,Heat Rate MBTU/MWh,Gentype,GO,BusNum,Name,Substation Latitude,Substation Longitude,Distance
10,57680,129,SUN,SOLAR,0,348390.001,33.305,-112.833888,0,solar," 40777, 40778, 40779, 40780, 40781, ",40777,BUCKEYE 4 1,33.305,-112.8339,0.000694422
11,57930,1.9,SUN,SOLAR,0,0,32.108147,-110.824662,0,solar," 40558, ",40558,TUCSON 39 1,32.1286,-110.8717,3.097460376
12,59168,29,SUN,SOLAR,0,73955,32.001389,-110.960556,0,solar," 40500, 40501, ",40500,TUCSON 10 1,32.0233,-111.0503,5.480675847
13,60062,16,SUN,SOLAR,0,42797,32.000854,-110.958427,0,solar," 40501, ",40501,TUCSON 10 2,32.0233,-111.0503,5.610997811
14,57657,26.5,SUN,SOLAR,0,68384,32.371667,-111.282777,0,solar," 40997, ",40997,MARANA 4 1,32.3717,-111.2828,0.002641886
15,62643,2.4,SUN,SOLAR,0,8071.002,33.424279,-111.92822,0,solar," 40863, 40864, ",40863,CHANDLER 15 2,33.4172,-111.9283,0.487888899
16,58262,14.8,SUN,SOLAR,0,38976,33.498003,-112.813458,0,solar," 40996, ",40996,TONOPAH 5 1,33.4936,-112.7794,1.98985666
17,56482,121,NG,GAS,1007174.266,98009,35.0361,-114.1594,0,ng," 40703, ",40703,GOLDEN VALLEY 2 1,35.0361,-114.1594,0
18,58042,9,SUN,SOLAR,0,20828,35.0227,-114.1627,0,solar," 40832, 40833, ",40832,GOLDEN VALLEY 3 1,35.0156,-114.1597,0.51816825
19,60413,50,SUN,SOLAR,0,136141,33.053,-111.34,0,solar," 40480, 40481, ",40480,FLORENCE 3 1,33.0082,-111.2863,4.387327333
20,59471,652.2,NG,GAS,0,0,33.230833,-112.626389,0,ng," 40073, ",40073,BUCKEYE 2 1,33.2216,-112.5346,5.354405956
21,58037,3.3,SUN,SOLAR,0,7211,33.419167,-112.576111,0,solar," 40103, ",40103,GOODYEAR 4 1,33.4749,-112.4604,7.710022547
22,60685,1.5,SUN,SOLAR,0,2912,32.374,-110.974,0,solar," 40540, ",40540,TUCSON 31 1,32.3811,-110.9904,1.076550657
23,57560,19,SUN,SOLAR,0,44826,34.71843,-112.42899,0,solar," 41013, 41014, 41015, ",41013,CHINO VALLEY 2 1,34.7184,-112.429,0.002144861
24,56229,9,NG,GAS,289219.942,55890.43,32.229922,-110.952797,0,ng," 40871, ",40871,TUCSON 52 1,32.2299,-110.9528,0.001526045
25,59233,6,NG,GAS,212785.562,41397.66,32.240833,-110.948333,0,ng," 40517, 40518, ",40517,TUCSON 16 1,32.2498,-110.9514,0.643440269
26,58832,1,SUN,SOLAR,0,2094,32.101944,-110.813333,0,solar," 40920, 40921, ",40920,TUCSON 53 1,32.1458,-110.8669,4.358562663
27,60374,1.2,OBG,BIOMASS,0,0,34.11494,-109.37503,0,other," 40675, 40676, ",40675,EAGAR 1,34.1025,-109.412,2.286424725
28,56948,726,NG,GAS,3444174.062,330192,32.917399,-111.503327,0,ng," 40819, 40820, 40821, 40822, 40823, 40824, 40825, 40826, 40827, 40828, 40829, 40830, 40831, ",40819,CHANDLER 14 1,32.9174,-111.5033,0.001570838
29,58413,1678,NG,GAS,0,0,33.15512,-111.483636,0,ng," 40872, 40873, 40874, ",40872,GLOBE 2 1,33.1606,-111.484,0.378240864
30,6177,821.8,RC,COAL,26665905,2074935,34.5789,-109.2708,0,coal," 40760, 40761, 40762, 40763, 40764, ",40760,SAINT JOHNS 2 1,34.5789,-109.2708,0
31,57561,34,SUN,SOLAR,0,39075,33.034722,-112.661667,0,solar," 41016, ",41016,GILA BEND 8 1,33.0347,-112.6617,0.002442906
32,152,254.8,WAT,HYDRO,0,1033569,35.197044,-114.570669,0,hydro,,40732,CHLORIDE 1 4,35.197,-114.5707,0.00350398
33,59779,12.6,SUN,SOLAR,0,30156,32.17356,-110.899734,0,solar," 40966, ",40966,TUCSON 54 1,32.1736,-110.8997,0.003400974
34,124,85,NG,GAS,229957.328,16300,32.252273,-110.992148,0,ng," 40518, ",40518,TUCSON 16 2,32.2498,-110.9514,2.392067081
35,55129,646.1,NG,GAS,17339157,2220079,32.9042,-111.7889,0,ng," 40866, 40867, 40868, 40869, 40870, ",40866,CASA GRANDE 5 1,32.9042,-111.7889,0
36,59444,10,SUN,SOLAR,0,31006,33.145,-112.66,0,solar," 40720, 40721, ",40720,GILA BEND 2 1,33.0264,-112.6658,8.180097752
37,62965,20,SUN,SOLAR,0,31006,33.145593,-112.659124,0,solar," 40721, ",40721,GILA BEND 2 2,33.0264,-112.6658,8.223166298
38,57920,300,WND,WIND,0,0,35.61,-114.26,0,wind," 40020, 40021, ",40020,DOLAN SPRINGS 1,35.5803,-114.4341,10.01512799
39,114,26.1,DFO,OIL,2858,59,31.364122,-109.5538,0,otherfuel," 40727, 40728, ",40727,DOUGLAS 2 1,31.3641,-109.5538,0.00151569
40,57922,50,SUN,SOLAR,0,0,34.513333,-110.078333,0,solar," 40630, ",40630,TAYLOR 1,34.4757,-110.1527,4.974117796
41,57098,63,WND,WIND,0,118868,34.6596,-110.2842,0,wind," 40782, ",40782,HEBER 4 1,34.6596,-110.2842,0
42,62899,100,SUN,SOLAR,0,0,32.84703,-111.565072,0,solar," 40890, 40891, 40892, 40893, 40894, 40895, 40896, 40897, ",40890,CHANDLER 16 1,32.9285,-111.5899,5.796846193
43,62964,50,MWH,OTHF,0,0,33.568,-112.305917,0,otherfuel," 40125, ",40125,YOUNGTOWN 1,33.5712,-112.2953,0.651021602
44,60230,1.8,SUN,SOLAR,0,3722,33.409803,-112.340297,0,solar," 40099, 40100, 40101, 40102, ",40099,GOODYEAR 3 1,33.4306,-112.3098,2.271709055
45,57997,73,SUN,SOLAR,0,95510,32.64856,-114.428741,0,solar," 40950, 40951, 40952, ",40950,YUMA 8 1,32.6486,-114.4287,0.003648383
46,58972,17.7,SUN,SOLAR,0,37307,31.555278,-110.35,0,solar," 40747, 40748, ",40747,FORT HUACHUCA 2 1,31.5553,-110.35,0.001515735
47,58842,5,SUN,SOLAR,0,8499,32.102778,-110.819722,0,solar," 40921, ",40921,TUCSON 53 2,32.1458,-110.8669,4.054622857
48,59020,68,SUN,SOLAR,0,94765,32.940833,-112.881389,0,solar," 40990, ",40990,GILA BEND 7 1,32.9408,-112.8814,0.002362223
49,55507,900,NG,GAS,0,0,32.985977,-112.811009,0,ng," 40062, 40063, ",40062,GILA BEND 1 1,33.0065,-112.783,2.155418315
50,60768,619,NG,GAS,21476363.5,2840032,32.975,-112.694444,0,ng," 40883, 40884, 40885, 40886, 40887, 40888, 40889, 40956, 40957, 40958, 40959, 40960, 40961, 40962, 40963, 40964, 40965, ",40883,GILA BEND 5 1,32.975,-112.6944,0.002555762
51,55306,1857,NG,GAS,63772087.25,5761071,32.975,-112.6944,0,ng," 40884, 40885, 40886, 40887, 40888, 40889, 40956, 40957, 40958, 40959, 40960, 40961, 40962, 40963, 40964, 40965, ",40884,GILA BEND 5 2,32.975,-112.6944,0
52,58543,2.5,SUN,SOLAR,0,3541,33.355862,-111.802355,0,solar," 40358, ",40358,MESA 5 1,33.3563,-111.7884,0.807648316
53,153,1312,WAT,HYDRO,0,3892305.001,36.936614,-111.483872,0,hydro,,40924,PAGE 3 3,36.9366,-111.4839,0.001826017
54,57829,2.8,LFG,BIOMASS,159063,9396,33.540324,-112.306361,0,other," 40157, 40158, ",40157,PHOENIX 8 1,33.5576,-112.2875,1.613154143
55,61272,55,SUN,SOLAR,0,139943,35.3635,-113.8978,0,solar," 40042, ",40042,KINGMAN 1 1,35.3941,-114.0205,7.241853725
56,55124,655,NG,GAS,23289252,2981217,35.054029,-114.133272,0,ng," 41006, 41007, 41008, 41009, 41010, 41011, 41012, ",41006,LAKE HAVASU CITY 4 1,35.054,-114.1333,0.002552615
57,7179,19.5,WAT,HYDRO,0,72438,34.168264,-114.277356,0,hydro,,28992,PARKER DAM 5,34.2953,-114.1402,11.76114397
58,8902,1039.4,WAT,HYDRO,0,1156197.002,36.01551,-114.738006,0,hydro,,30451,BUNKERVILLE 2 3,36.0155,-114.738,0.000767021
59,58383,28,SUN,SOLAR,0,36646,33.027,-113.3489,0,solar," 40975, 40976, 40977, 40978, ",40975,DATELAND 3 1,33.0257,-113.344,0.298228114
60,57563,38,SUN,SOLAR,0,37173,33.02566,-113.34397,0,solar," 40976, 40977, 40978, ",40976,DATELAND 3 2,33.0257,-113.344,0.003260597
61,60822,4.2,SUN,SOLAR,0,3804,33.243261,-111.892354,0,solar," 40363, ",40363,CHANDLER 7 1,33.217,-111.86,2.605137347
62,56899,3,DFO,OIL,0,0,36.9708,-112.5264,0,otherfuel," 40061, ",40061,FREDONIA 1,36.7665,-112.8363,22.20965047
63,60996,12,SUN,SOLAR,0,3017,32.098492,-110.819119,0,solar," 40544, ",40544,TUCSON 33 1,32.0363,-110.8631,5.002166565
64,126,746.5,NG,GAS,16588032.07,1648044,32.16,-110.9047,0,ng," 40851, 40852, 40853, 40854, 40855, 40856, 40857, 40858, 40859, 40860, ",40851,TUCSON 50 1,32.16,-110.9047,0
65,60603,4.4,SUN,SOLAR,0,9460,35.304528,-114.01183,0,solar," 40043, ",40043,KINGMAN 2 1,35.3797,-114.0698,6.130152759
66,58292,1.1,SUN,SOLAR,0,2161,33.603056,-111.924722,0,solar," 40359, ",40359,SCOTTSDALE 12 1,33.5849,-111.9329,1.337250343
67,61268,55.3,SUN,SOLAR,0,78967,36.771944,-110.263889,0,solar," 40610, 40611, 40612, 40613, ",40610,KAYENTA 1,36.6282,-110.1825,10.89346741
68,57775,10.5,WND,WIND,0,28607,35.145833,-114.0675,0,wind," 41017, ",41017,KINGMAN 4 1,35.1458,-114.0675,0.002274919
69,147,573.7,NG,GAS,10173077,1454644,33.3556,-111.9353,0,ng," 40737, 40738, 40739, 40740, 40741, 40742, 40743, 40744, 40745, 40746, ",40737,TEMPE 9 1,33.3556,-111.9353,0
70,58652,200,SUN,SOLAR,0,0,33.917222,-114.2675,0,solar," 40027, ",40027,PARKER 1 1,34.0169,-114.2511,6.934421464
71,57556,1,SUN,SOLAR,0,1981,35.241675,-114.004591,0,solar," 41007, 41008, 41009, 41010, 41011, 41012, ",41007,LAKE HAVASU CITY 4 2,35.054,-114.1333,14.84910299
72,58539,6.5,SUN,SOLAR,0,14631,33.820556,-112.24,0,solar," 40719, ",40719,PEORIA 8 1,33.8447,-112.2714,2.455789918
73,57324,15,SUN,SOLAR,0,30813,33.526111,-112.37944,0,solar," 40109, ",40109,SURPRISE 5 1,33.529,-112.4149,2.056451322
74,57673,3.5,SUN,SOLAR,0,4901,33.409063,-112.414596,0,solar," 40117, ",40117,AVONDALE 1 1,33.4334,-112.3757,2.804646356
75,55481,1383.2,NG,GAS,46473009,6630659,33.345,-112.864167,0,ng," 40835, 40836, 40837, 40838, 40839, 40998, 40999, 41000, 41001, 41002, 41003, ",40835,ARLINGTON 9 1,33.345,-112.8642,0.001908789
76,57707,170,SUN,SOLAR,0,407345.001,33.341833,-112.904028,0,solar," 40793, ",40793,TONOPAH 3 1,33.3418,-112.904,0.00279203
77,60307,100,SUN,SOLAR,0,256047,33.332777,-112.911388,0,solar," 40993, 40994, 40995, ",40993,ARLINGTON 11 3,33.3417,-112.8897,1.397194138
78,60308,150,SUN,SOLAR,0,445637,33.347583,-112.936805,0,solar," 40994, 40995, ",40994,ARLINGTON 11 4,33.3417,-112.8897,2.754662371
79,63114,350,WND,WIND,0,0,35.791142,-114.504504,0,wind," 40021, ",40021,DOLAN SPRINGS 2,35.5803,-114.4341,15.06584673
80,59819,4.4,SUN,SOLAR,0,9649,34.9843,-114.5565,0,solar," 40010, 40011, 40012, ",40010,MOHAVE VALLEY 1 1,34.986,-114.5811,1.400569893
81,63554,10,SUN,SOLAR,0,29723,34.9843,-114.5565,0,solar," 40011, 40012, ",40011,MOHAVE VALLEY 1 2,34.986,-114.5811,1.400569893
82,55372,1325.1,NG,GAS,0,0,33.47596,-113.113434,0,ng," 40909, 40910, 40911, 40912, 40913, 40914, 40915, 40916, 40917, ",40909,TONOPAH 4 1,33.476,-113.1134,0.003384609
83,6088,107.8,NG,GAS,189923.996,12476.001,32.401,-111.1262,0,ng," 40805, 40806, ",40805,TUCSON 49 1,32.401,-111.1262,0
84,57403,3.2,LFG,BIOMASS,239134,21270,33.681944,-112.476666,0,other," 40081, 40082, ",40081,SURPRISE 1 1,33.6427,-112.4432,3.321938858
85,56616,27.2,WDS,BIOMASS,3406009.5,200151,34.503158,-110.334953,0,other," 40918, ",40918,SNOWFLAKE 2 1,34.5032,-110.335,0.003946466
86,63349,32.5,SUN,SOLAR,0,735,33.776667,-113.656111,0,solar," 40045, ",40045,SALOME 1,33.6878,-113.6241,6.39617845
87,6008,4209.6,NUC,NUCLEAR,0,31920368,33.3881,-112.8617,0,nuclear," 40840, 40841, 40842, 40843, 40844, 40845, 40846, ",40840,PHOENIX 74 1,33.3881,-112.8617,0
88,57562,34.6,SUN,SOLAR,0,38476,33.021111,-112.661389,0,solar," 40790, 40791, 40792, ",40790,GILA BEND 3 1,33.0211,-112.6614,0.000991187
89,58293,1.3,SUN,SOLAR,0,2598,33.6416,-111.9997,0,solar," 40223, ",40223,PHOENIX 36 1,33.6727,-112.0145,2.306910233
90,58155,99.2,WND,WIND,0,220756,35.415556,-112.271111,0,wind," 40715, 40716, 40717, 40718, ",40715,WILLIAMS 3 1,35.4156,-112.2711,0.003096233
91,58708,1.1,SUN,SOLAR,0,1953,33.4345,-111.9842,0,solar," 40308, 40309, ",40308,TEMPE 2 1,33.4335,-111.9777,0.381861164
92,58709,1.6,SUN,SOLAR,0,5805,33.43042,-112.04484,0,solar," 40271, ",40271,PHOENIX 60 1,33.422,-112.0413,0.615289255
93,58486,20,SUN,SOLAR,0,51506,32.369722,-111.242778,0,solar," 40774, ",40774,MARANA 3 1,32.3697,-111.2428,0.001988264
94,62075,1.1,SUN,SOLAR,0,1702,32.166494,-110.816669,0,solar," 40537, ",40537,TUCSON 30 1,32.2027,-110.8508,3.197443463
95,61104,1.3,SUN,SOLAR,0,2952,32.146142,-110.990639,0,solar," 40527, ",40527,TUCSON 23 1,32.1295,-110.9723,1.571903435
96,63531,1.3,SUN,SOLAR,0,2184,32.343491,-111.02786,0,solar," 40519, ",40519,TUCSON 17 1,32.3428,-111.0492,1.249203625
97,61197,10,MWH,OTHF,0,-367,32.251647,-110.991333,0,otherfuel," 40550, 40551, ",40550,TUCSON 35 1,32.2199,-110.9594,2.87795567
98,61678,30,SUN,SOLAR,0,59895,32.875697,-111.551111,0,solar," 40820, 40821, 40822, 40823, 40824, 40825, 40826, 40827, 40828, 40829, 40830, 40831, ",40820,CHANDLER 14 2,32.9174,-111.5033,3.99811509
99,57318,20,SUN,SOLAR,0,51447,33.160601,-111.484011,0,solar," 40873, 40874, ",40873,GLOBE 2 2,33.1606,-111.484,0.000641314
100,57379,65.1,WND,WIND,0,122910,34.6062,-110.1734,0,wind," 40947, 40948, ",40947,HEBER 5 1,34.6062,-110.1734,0
101,58171,4.5,SUN,SOLAR,0,7064,32.116389,-110.82,0,solar," 40572, 40573, ",40572,TUCSON 46 1,32.1118,-110.7409,4.649385417
102,56228,10,SUN,SOLAR,0,5210,34.6584,-112.4008,0,solar," 40834, ",40834,PRESCOTT 4 1,34.6494,-112.4275,1.642539914
103,58147,10.8,SUN,SOLAR,0,23469,34.649444,-112.4275,0,solar," 40088, 40089, 40090, 40091, ",40088,PRESCOTT 3 1,34.6071,-112.4441,3.068245606
104,61913,2,MWH,OTHF,0,0,33.87581,-111.31356,0,otherfuel," 40482, 40483, ",40482,TONTO BASIN 1,33.8292,-111.1206,11.55169511
105,57883,19,SUN,SOLAR,0,47619,33.2675,-111.612222,0,solar," 40807, 40808, ",40807,QUEEN CREEK 3 1,33.2675,-111.6122,0.001273652
106,57795,4.5,SUN,SOLAR,0,8492,32.367013,-112.831401,0,solar," 40065, 40066, ",40065,AJO 1,32.1788,-112.6246,17.74122879
107,57790,16.6,SUN,SOLAR,0,32686,34.585833,-113.177222,0,solar," 40749, 40750, ",40749,BAGDAD 2 1,34.5858,-113.1772,0.00259755
108,58501,15,SUN,SOLAR,0,43250,33.026389,-112.665833,0,solar," 40791, 40792, ",40791,GILA BEND 3 2,33.0211,-112.6614,0.446179859
109,58833,81,SUN,SOLAR,0,213103,32.286111,-110.088056,0,solar," 40643, ",40643,WILLCOX 1,32.3775,-109.9599,9.791178789
110,60285,30,SUN,SOLAR,0,75653,32.13597,-110.05129,0,solar," 40767, 40768, 40769, 40770, 40771, 40772, 40773, ",40767,COCHISE 3,32.0603,-109.8931,10.64287741
111,60467,40,SUN,SOLAR,0,116169,32.551026,-111.289232,0,solar," 40693, 40694, 40695, 40696, 40697, ",40693,CHANDLER 13 1,32.5517,-111.3,0.630147673
112,55455,1140.3,NG,GAS,33270557.5,4650226,33.334562,-112.840641,0,ng," 40967, 40968, 40969, 40970, 40971, 40972, 40973, 40974, ",40967,ARLINGTON 10 1,33.3346,-112.8406,0.003533233
113,59044,6,SUN,SOLAR,0,11273,31.5,-111.008056,0,solar," 40505, ",40505,RIO RICO 1,31.5573,-110.9545,5.057074192
114,57524,1.1,SUN,SOLAR,0,1025,32.2894,-111.0331,0,solar," 40495, ",40495,TUCSON 7 1,32.3405,-111.0785,4.410780436
115,58213,15,SUN,SOLAR,0,35179,33.378333,-113.180833,0,solar," 41004, 41005, ",41004,TONOPAH 6 1,33.3783,-113.1808,0.002968664
116,63476,100,SUN,SOLAR,0,0,32.866276,-111.502402,0,solar," 40821, 40822, 40823, 40824, 40825, 40826, 40827, 40828, 40829, 40830, 40831, ",40821,CHANDLER 14 3,32.9174,-111.5033,3.523425522
117,59634,45,SUN,SOLAR,0,120772,33.035556,-111.430278,0,solar," 40463, ",40463,SAN TAN VALLEY 4 1,33.0919,-111.5477,7.842382661
118,8068,1326,NG,GAS,37223542,6113623,33.3325,-111.7503,0,ng," 40898, 40899, 40900, 40901, 40902, 40903, 40904, 40905, 40906, 40907, 40908, ",40898,GILBERT 12 1,33.3325,-111.7503,0
119,56812,280,SUN,SOLAR,0,791642,32.922294,-112.95594,0,solar," 40847, 40848, 40849, 40850, ",40847,GILA BEND 4 1,32.9223,-112.9559,0.002361282
120,55177,708,NG,GAS,14428432,1886216,34.8678,-114.5317,0,ng," 40751, 40752, 40753, 40754, 40755, 40756, 40757, 40758, 40759, ",40751,MOHAVE VALLEY 2 1,34.8678,-114.5317,0
121,8223,2179.2,SUB,COAL,85198528,7945334,34.3186,-109.1639,0,coal," 40875, 40876, 40877, 40878, 40879, 40880, 40881, 40882, ",40875,SPRINGERVILLE 2 1,34.3186,-109.1639,0
122,60381,20,SUN,SOLAR,0,51926,32.0628,-109.919283,0,solar," 40768, 40769, 40770, 40771, 40772, 40773, ",40768,COCHISE 4,32.0603,-109.8931,1.545942036
123,63440,150,SUN,SOLAR,0,0,33.320406,-112.816771,0,solar," 40778, 40779, 40780, 40781, ",40778,BUCKEYE 4 2,33.305,-112.8339,1.452454042
124,60827,154.3,SUN,SOLAR,0,0,33.34884,-112.8348,0,solar," 40968, 40969, 40970, 40971, 40972, 40973, 40974, ",40968,ARLINGTON 10 2,33.3346,-112.8406,1.037135672
125,55522,695,NG,GAS,3419757.688,303203.998,32.9285,-111.5899,0,ng," 40891, 40892, 40893, 40894, 40895, 40896, 40897, ",40891,CHANDLER 16 2,32.9285,-111.5899,0
126,61199,1.2,SUN,SOLAR,0,2402,33.447225,-112.217664,0,solar," 40130, 40131, ",40130,TOLLESON 1 1,33.435,-112.2291,1.070717077
127,57391,2.8,SUN,SOLAR,0,0,32.115833,-110.940833,0,solar," 40534, ",40534,TUCSON 27 1,32.0899,-110.916,2.305235643
128,59455,5,SUN,SOLAR,0,13302,32.097884,-110.815696,0,solar," 40573, ",40573,TUCSON 46 2,32.1118,-110.7409,4.490238381
129,57392,1.2,SUN,SOLAR,0,2203,32.096973,-110.8106,0,solar," 40562, 40563, ",40562,TUCSON 42 1,32.146,-110.7376,5.452965881
130,58516,1.6,SUN,SOLAR,0,2852,32.936944,-111.738611,0,solar," 40443, 40444, 40445, 40446, ",40443,CASA GRANDE 4 1,32.9418,-111.7257,0.821490551
131,54594,3.1,NG,GAS,355,20,32.578011,-110.852608,0,ng," 40566, 40567, 40568, ",40566,ORACLE 1,32.6137,-110.8042,3.744544488
132,6515,108,NG,GAS,313207.996,27403.999,31.363472,-110.931343,0,ng," 40704, 40705, 40706, 40707, ",40704,NOGALES 2 1,31.3635,-110.9313,0.003191122
133,59454,10,SUN,SOLAR,0,24677,32.145833,-110.866944,0,solar," 40852, 40853, 40854, 40855, 40856, 40857, 40858, 40859, 40860, ",40852,TUCSON 50 2,32.16,-110.9047,2.418883056
134,58517,1.8,SUN,SOLAR,0,3106,32.891389,-111.713056,0,solar," 40444, 40445, 40446, ",40444,CASA GRANDE 4 2,32.9418,-111.7257,3.550804302
135,57939,2,SUN,SOLAR,0,2627,32.866837,-111.771751,0,solar," 40867, 40868, 40869, 40870, ",40867,CASA GRANDE 5 2,32.9042,-111.7889,2.76107463
136,56358,3,WDS,BIOMASS,0,0,34.093006,-109.289979,0,other," 40676, ",40676,EAGAR 2,34.1025,-109.412,7.027145374
137,60572,200,SUN,SOLAR,0,0,32.994056,-113.508806,0,solar," 40699, 40700, 40701, 40702, ",40699,DATELAND 1 2,32.9774,-113.4945,1.416973179
138,120,425,NG,GAS,4430864,414041.001,32.7214,-114.7106,0,ng," 40722, 40723, 40724, 40725, 40726, ",40722,YUMA 6 1,32.7214,-114.7106,0
139,54694,62.6,NG,GAS,440031.518,59620,32.728822,-114.654053,0,ng," 40861, ",40861,YUMA 7 1,32.7288,-114.6541,0.003129311
140,57310,1.3,SUN,SOLAR,0,1781,33.794283,-118.241405,0,solar," 26080, 26081, 26082, ",26080,CARSON 9 1,33.7917,-118.2347,0.424923669
141,58918,1.2,SUN,SOLAR,0,1535,36.67,-119.415833,0,solar," 23224, ",23224,REEDLEY 1 1,36.628,-119.487,4.901334488
142,58920,1.5,SUN,SOLAR,0,2656,37.352222,-120.506944,0,solar," 23140, 23141, 23142, 23143, ",23140,MERCED 5 1,37.3493,-120.5176,0.620300318
143,58919,1.3,SUN,SOLAR,0,2410,39.291667,-121.669722,0,solar," 20085, 20086, ",20085,LIVE OAK 1,39.2733,-121.7001,2.063464049
144,57871,1,SUN,SOLAR,0,1252,34.026944,-118.224167,0,solar," 25516, ",25516,LOS ANGELES 63 1,34.0225,-118.2235,0.308681924
145,52162,14.1,WND,WIND,0,12194,35.1011,-118.3372,0,wind," 25957, 25958, ",25957,TEHACHAPI 4 1,35.1011,-118.3372,0
146,52163,21.2,WND,WIND,0,16181,35.1011,-118.3372,0,wind," 25958, ",25958,TEHACHAPI 4 2,35.1011,-118.3372,0
147,61501,1,OBG,BIOMASS,100520,7924,35.472113,-119.432866,0,other," 25068, 25069, 25070, ",25068,WASCO 6 1,35.5698,-119.5052,7.87252604
148,61502,1,OBG,BIOMASS,81374,6513,35.21426,-119.202974,0,other," 25078, ",25078,BAKERSFIELD 1 1,35.3019,-119.2675,7.057988746
149,61503,1,OBG,BIOMASS,98932,7972,35.17306,-119.116384,0,other," 25091, 25092, ",25091,BAKERSFIELD 2 1,35.1005,-119.0939,5.161564084
150,58699,2,OBG,BIOMASS,171690,12192,35.169722,-119.105556,0,other," 25092, ",25092,BAKERSFIELD 2 2,35.1005,-119.0939,4.817381374
151,62874,2,MWH,OTHF,0,0,34.196505,-118.931898,0,otherfuel," 25134, 25135, 25136, ",25134,NEWBURY PARK 1 1,34.1861,-118.9615,1.840932463
152,59440,7,SUN,SOLAR,0,18283,34.557222,-117.3775,0,solar," 28847, 28848, 28849, 28850, 28851, 28852, 28853, 28854, ",28847,VICTORVILLE 7 1,34.5953,-117.3647,2.724302015
153,57305,10,SUN,SOLAR,0,12751,34.550833,-117.435277,0,solar," 28271, ",28271,ADELANTO 2 1,34.5394,-117.5086,4.255653623
154,59441,20,SUN,SOLAR,0,60023,34.557222,-117.3775,0,solar," 28848, 28849, 28850, 28851, 28852, 28853, 28854, ",28848,VICTORVILLE 7 2,34.5953,-117.3647,2.724302015
155,60027,20,SUN,SOLAR,0,42336,37.120586,-120.32488,0,solar," 23495, 23496, 23497, 23498, ",23495,CHOWCHILLA 2 1,37.1073,-120.2485,4.31656398
156,57811,1.2,NG,GAS,74638.002,8338,37.330556,-121.893056,0,ng," 21484, ",21484,SAN JOSE 13 1,37.3319,-121.9067,0.75704905
157,57651,20,SUN,SOLAR,0,47763,35.102778,-118.954444,0,solar," 25918, ",25918,BAKERSFIELD 25 1,35.1028,-118.9544,0.002917834
158,55184,6.2,NG,GAS,262080.075,47904,35.953293,-120.859952,0,ng," 23470, 23471, 23472, ",23470,SAN ARDO 2 1,35.9515,-120.8679,0.462386605
159,57697,3,SUN,SOLAR,0,5923,38.613508,-121.162879,0,solar," 20219, ",20219,CITRUS HEIGHTS 4 1,38.5994,-121.184,1.501260497
160,57698,2.7,SUN,SOLAR,0,3994,38.6086,-121.1703,0,solar," 20243, 20244, 20245, 20246, 20247, ",20243,FOLSOM 1 1,38.5952,-121.1904,1.42757834
161,61718,1.5,SUN,SOLAR,0,1904,34.189857,-118.451355,0,solar," 25231, ",25231,ENCINO 1 1,34.2028,-118.4686,1.330922744
162,62115,689,NG,GAS,0,0,33.767229,-118.100194,0,ng," 26094, 26095, 26096, 26097, 26098, 26099, 26100, 26101, 26102, 26103, ",26094,LONG BEACH 27 1,33.7688,-118.1009,0.115650431
